2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Language Editing Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists For Authors, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists About the Journal, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists About the AAMC, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Masthead, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Submit a Manuscript, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Advertising Information, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Subscription Services, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Reprints and Back Issues, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Classified Ads, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Rights and Permissions, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists For Reviewers, its XPath: //span[contains(text(), '***' )]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists Journal Info, its XPath: //a[contains(text(), '***')]
2017-02-20 19:07:04.8038 | INFO | LLW_Framework.JournalTest | Checking if element exists For Media, its XPath: //span[contains(text(), '***' )]
